,action_date_fiscal_year,allaward,allawardtotal,filteredaward,filteredawardtotal,agency_abb
6,2015,2865944,"$5,923,688,116,294.29",1344,"$6,100,387,165.76",DOD
7,2016,3314833,"$3,626,249,159,859.62",1483,"$6,712,898,569.97",DOD
8,2017,3308722,"$14,196,658,999,865.40",1464,"$5,423,453,273.83",DOD
9,2018,4137177,"$5,180,065,758,225.71",1345,"$11,631,004,685.17",DOD
10,2019,3975055,"$30,196,585,625,594.20",943,"$12,353,673,286.47",DOD
0,2009,84260,"$99,252,345,520.67",616,"$905,773,641.71",DOJ
1,2010,88440,"$51,159,001,521.79",87,"$175,793,896.77",DOJ
2,2011,97541,"$28,001,384,845.06",65,"$189,407,215.78",DOJ
3,2012,109012,"$20,408,558,731.42",64,"$207,701,892.39",DOJ
4,2013,112881,"$25,829,029,418.39",104,"$66,920,146.30",DOJ
5,2014,116527,"$30,383,376,073.99",104,"$213,965,137.61",DOJ
6,2015,109768,"$20,433,737,162.70",151,"$162,752,508.38",DOJ
7,2016,94042,"$10,758,963,193.61",133,"$82,733,746.59",DOJ
8,2017,85976,"$43,180,431,594.01",134,"$153,192,306.90",DOJ
9,2018,88507,"$20,932,694,723.17",115,"$158,778,750.38",DOJ
10,2019,67383,"$24,702,592,160.86",102,"$131,303,981.61",DOJ
0,2009,932467,"$518,979,515,543.52",1332,"$740,938,358.09",GSA
1,2010,862551,"$619,975,502,879.16",643,"$158,192,337.17",GSA
2,2011,686435,"$523,019,759,732.16",274,"$35,642,429.91",GSA
3,2012,565221,"$251,697,884,364.52",118,"$15,284,008.67",GSA
4,2013,104038,"$141,009,804,070.44",11,"$42,518,570.88",GSA
5,2014,105075,"$1,084,912,970,610.33",8,"$59,314,782.02",GSA
6,2015,96605,"$74,114,878,535.34",9,"$141,827,118.27",GSA
7,2016,92822,"$805,671,786,650.42",14,"$7,842,753.67",GSA
8,2017,108244,"$2,713,584,029,738.39",10,"$7,676,353.52",GSA
9,2018,113590,"$5,715,676,907,898.19",10,"$73,514,458.05",GSA
10,2019,1320568,"$268,775,142,162,218.00",7,"$2,972,526.84",GSA
0,2009,55355,"$139,819,670,587.91",334,"$1,614,285,437.36",HHS
1,2010,63525,"$1,534,822,079,223.35",207,"$395,631,341.27",HHS
2,2011,64895,"$88,444,747,404.69",104,"$233,083,309.21",HHS
3,2012,65568,"$3,902,770,246,893.55",114,"$202,328,740.94",HHS
4,2013,67169,"$359,090,985,972.50",134,"$250,453,263.73",HHS
5,2014,71517,"$165,749,444,366.31",127,"$222,855,044.74",HHS
6,2015,69364,"$1,440,356,628,566.46",165,"$1,304,397,210.48",HHS
7,2016,66019,"$256,155,842,613.87",185,"$486,925,937.84",HHS
8,2017,68107,"$94,865,163,644.84",188,"$437,441,979.41",HHS
9,2018,62976,"$1,355,421,450,686.00",169,"$222,153,646.55",HHS
10,2019,56212,"$2,145,603,454,495.12",128,"$201,392,391.01",HHS
0,2009,679,"$131,344,092.13",28,"$8,982,448.69",SEC
1,2010,1021,"$268,454,002.98",7,"$3,109,802.50",SEC
2,2011,1569,"$441,885,931.77",8,"$5,644,899.82",SEC
3,2012,2074,"$545,435,234.66",4,"$3,094,110.07",SEC
4,2013,1596,"$1,335,760,068.71",11,"$791,628.06",SEC
5,2014,1632,"$1,396,473,230.25",3,"$6,136,206.13",SEC
6,2015,1907,"$3,474,573,581.77",5,"$16,003,747.45",SEC
7,2016,2046,"$1,006,618,559.86",3,"$281,708,994.24",SEC
0,2009,35338,"$2,076,622,156.82",451,"$504,009,708.14",TREAS
1,2010,24991,"$33,719,290,361.80",150,"$115,482,109.33",TREAS
2,2011,22592,"$412,102,622,396.70",78,"$111,029,428.43",TREAS
3,2012,21883,"$13,077,039,796.33",78,"$170,823,052.97",TREAS
4,2013,20995,"$27,211,081,854.72",68,"$141,011,305.25",TREAS
5,2014,19186,"$7,879,662,595.95",91,"$132,150,353.11",TREAS
6,2015,16426,"$13,018,178,916.51",109,"$244,214,858.40",TREAS
7,2016,15083,"$11,573,113,502.41",99,"$141,677,617.86",TREAS
8,2017,15563,"$11,643,436,885.87",79,"$76,573,523.90",TREAS
9,2018,12182,"$14,509,076,874.24",85,"$312,873,735.35",TREAS
10,2019,11926,"$57,429,844,542.18",55,"$143,288,954.57",TREAS
0,2009,57521,"$7,514,455,490.09",698,"$170,342,833.81",USDA
1,2010,62926,"$7,195,004,765.50",343,"$84,443,698.91",USDA
2,2011,60454,"$6,607,092,304.94",148,"$53,216,459.25",USDA
3,2012,54989,"$6,679,769,340.81",128,"$61,357,737.92",USDA
4,2013,51223,"$7,723,022,286.20",144,"$39,239,423.19",USDA
5,2014,55255,"$10,103,585,457.54",185,"$133,499,734.78",USDA
6,2015,54610,"$12,119,754,611.17",153,"$125,893,607.72",USDA
7,2016,58816,"$9,345,578,225.93",117,"$45,170,754.89",USDA
8,2017,63537,"$11,967,725,796.81",81,"$38,862,224.13",USDA
9,2018,61622,"$11,679,049,371.34",44,"$32,842,613.03",USDA
10,2019,49973,"$11,780,331,932.86",20,"$21,405,634.45",USDA
0,2009,213990,"$34,482,435,233.76",1050,"$449,187,642.64",VA
1,2010,217554,"$43,843,838,748.52",208,"$177,913,169.66",VA
2,2011,237095,"$60,213,285,011.11",116,"$163,965,431.49",VA
3,2012,172622,"$105,773,169,474.57",84,"$39,395,440.38",VA
4,2013,177105,"$132,353,845,272.49",53,"$65,254,832.17",VA
5,2014,180475,"$81,390,889,221.00",65,"$240,713,071.51",VA
6,2015,175646,"$103,117,557,787.93",79,"$318,274,112.21",VA
7,2016,175115,"$826,637,778,014.24",51,"$486,123,818.22",VA
8,2017,171605,"$1,867,249,098,704.26",51,"$134,645,825.13",VA
9,2018,147358,"$493,239,697,582.96",40,"$123,404,153.16",VA
10,2019,102558,"$170,815,008,876.44",46,"$215,248,539.20",VA
